iter	Passed	Remaining
652	8289	4404
653	8302	4392
654	8311	4377
655	8321	4363
656	8335	4351
657	8342	4335
658	8369	4330
659	8382	4318
660	8398	4307
661	8417	4297
662	8440	4290
663	8456	4279
664	8471	4267
665	8485	4255
666	8503	4245
667	8521	4235
668	8539	4224
669	8561	4216
670	8579	4206
671	8600	4197
672	8619	4188
673	8636	4177
674	8649	4164
675	8662	4151
676	8670	4136
677	8682	4123
678	8692	4109
679	8702	4095
680	8713	4081
681	8719	4065
682	8732	4053
683	8745	4040
684	8752	4024
685	8762	4010
686	8771	3996
687	8782	3982
688	8794	3969
689	8803	3955
690	8813	3941
691	8829	3929
692	8838	3915
693	8851	3902
694	8862	3889
695	8874	3876
696	8883	3861
697	8894	3848
698	8906	3835
699	8924	3824
700	8946	3815
701	8958	3802
702	8974	3791
703	8988	3779
704	9006	3768
705	9030	3760
706	9043	3747
707	9062	3737
708	9080	3726
709	9099	3716
710	9116	3705
711	9135	3695
712	9153	3684
713	9170	3673
714	9186	3661
715	9203	3650
716	9217	3638
717	9234	3626
718	9255	3617
719	9277	3608
720	9291	3595
721	9300	3581
722	9310	3567
723	9325	3554
724	9334	3540
725	9345	3527
726	9358	3514
727	9368	3500
728	9378	3486
729	9388	3472
730	9401	3459
731	9412	3446
732	9422	3432
733	9433	3418
734	9444	3405
735	9455	3391
736	9468	3378
737	9476	3364
738	9489	3351
739	9497	3336
740	9507	3323
741	9520	3310
742	9529	3296
743	9540	3282
744	9553	3269
745	9564	3256
746	9574	3242
747	9589	3230
748	9602	3217
749	9615	3205
750	9624	3191
751	9645	3180
752	9669	3171
753	9679	3157
754	9698	3147
755	9715	3135
756	9727	3122
757	9741	3110
758	9755	3097
759	9767	3084
760	9774	3069
761	9785	3056
762	9798	3043
763	9807	3029
764	9817	3015
765	9827	3002
766	9835	2987
767	9843	2973
768	9854	2960
769	9866	2947
770	9878	2934
771	9886	2919
772	9896	2906
773	9906	2892
774	9917	2879
775	9935	2868
776	9944	2854
777	9952	2839
778	9960	2825
779	9969	2811
780	9975	2797
781	9984	2783
782	9994	2769
783	10002	2755
784	10015	2743
785	10024	2729
786	10036	2716
787	10048	2703
788	10062	2691
789	10074	2678
790	10083	2664
791	10098	2652
792	10107	2638
793	10120	2625
794	10135	2613
795	10152	2601
796	10170	2590
797	10187	2578
798	10202	2566
799	10216	2554
800	10232	2542
801	10248	2530
802	10264	2518
803	10275	2505
804	10283	2491
805	10294	2477
806	10303	2464
807	10313	2450
808	10322	2437
809	10331	2423
810	10343	2410
811	10358	2398
812	10373	2385
813	10385	2373
814	10396	2359
815	10409	2347
816	10426	2335
817	10439	2322
818	10457	2311
819	10474	2299
820	10490	2287
821	10506	2275
822	10522	2262
823	10536	2250
824	10549	2237
825	10566	2225
826	10586	2214
827	10612	2204
828	10629	2192
829	10643	2179
830	10657	2167
831	10673	2155
832	10684	2141
833	10694	2128
834	10707	2115
835	10718	2102
836	10731	2089
837	10738	2076
838	10749	2062
839	10758	2049
840	10769	2036
841	10783	2023
842	10796	2010
843	10806	1997
844	10822	1985
845	10836	1972
846	10846	1959
847	10857	1946
848	10871	1933
849	10883	1920
850	10899	1908
851	10909	1895
852	10958	1888
853	10971	1875
854	10987	1863
855	11006	1851
856	11026	1839
857	11043	1827
858	11064	1816
859	11086	1804
860	11103	1792
861	11114	1779
862	11130	1766
863	11147	1754
864	11157	1741
865	11169	1728
866	11189	1716
867	11202	1703
868	11223	1691
869	11235	1678
870	11248	1665
871	11268	1654
872	11285	1641
873	11296	1628
874	11311	1615
875	11322	1602
876	11334	1589
877	11346	1576
878	11358	1563
879	11364	1549
880	11375	1536
881	11385	1523
882	11398	1510
883	11410	1497
884	11424	1484
885	11441	1472
886	11455	1459
887	11471	1446
888	11483	1433
889	11502	1421
890	11510	1408
891	11525	1395
892	11536	1382
893	11547	1369
894	11557	1355
895	11569	1342
896	11578	1329
897	11588	1316
898	11596	1302
899	11606	1289
900	11615	1276
901	11627	1263
902	11637	1250
903	11647	1236
904	11655	1223
905	11665	1210
906	11676	1197
907	11687	1184
908	11698	1171
909	11709	1158
910	11720	1144
911	11729	1131
912	11736	1118
913	11745	1105
914	11753	1091
915	11761	1078
916	11770	1065
917	11778	1052
918	11787	1038
919	11796	1025
920	11804	1012
921	11811	999
922	11819	986
923	11830	973
924	11841	960
925	11850	946
926	11861	934
927	11876	921
928	11888	908
929	11903	895
930	11915	883
931	11962	872
932	11978	860
933	11990	847
934	11997	834
935	12009	821
936	12021	808
937	12031	795
938	12042	782
939	12055	769
940	12066	756
941	12078	743
942	12093	730
943	12105	718
944	12115	705
945	12125	692
946	12134	679
947	12142	666
948	12151	653
949	12162	640
950	12174	627
951	12183	614
952	12192	601
953	12203	588
954	12214	575
955	12226	562
956	12238	549
957	12250	537
958	12264	524
959	12274	511
960	12291	498
961	12309	486
